value,ignore,type,docRequired,selRequired,minVersion,maxVersion,en,de,ru,notes
Adobe Select Tool,FALSE,tool,TRUE,FALSE,24,,Selection Tool,Auswahl-Werkzeug,Инструмент: Выделение,
Adobe Shape Builder Tool,FALSE,tool,TRUE,FALSE,24,,Shape Builder Tool,Formerstellungs-Werkzeug,Инструмент: Создание фигур,
Adobe Shaper Tool,FALSE,tool,TRUE,FALSE,24,,Shaper Tool,Shaper-Werkzeug,Инструмент: Произвольная кривая,
Adobe Shear Tool,FALSE,tool,TRUE,FALSE,24,,Shear Tool,Verbiegen-Werkzeug,Инструмент: Наклон,
Adobe Slice Tool,FALSE,tool,TRUE,FALSE,24,,Slice Tool,Slice-Werkzeug,Инструмент: Фрагменты,
Adobe Slice Select Tool,FALSE,tool,TRUE,FALSE,24,,Slice Selection Tool,Slice-Auswahl-Werkzeug,Инструмент: Выделение фрагмента,
Adobe Freehand Smooth Tool,FALSE,tool,TRUE,FALSE,24,,Smooth Tool,Glätten-Werkzeug,Инструмент: Сглаживание,
Adobe Shape Construction Spiral Tool,FALSE,tool,TRUE,FALSE,24,,Spiral Tool,Spirale-Werkzeug,Инструмент: Спираль,
Adobe Stacked Bar Graph Tool,FALSE,tool,TRUE,FALSE,24,,Stacked Bar Graph Tool,Gestapeltes horizontales Balkendiagramm,Инструмент: Диаграмма горизонтальный стек,
Adobe Stacked Column Graph Tool,FALSE,tool,TRUE,FALSE,24,,Stacked Column Graph Tool,Gestapeltes vertikales Balkendiagramm,Инструмент: Диаграмма вертикальный стек,
Adobe Shape Construction Star Tool,FALSE,tool,TRUE,FALSE,24,,Star Tool,Stern-Werkzeug,Инструмент: Звезда,
Adobe Stencil Tool,TRUE,tool,TRUE,FALSE,,,Stencil Tool,,,
Adobe Symbol Screener Tool,FALSE,tool,TRUE,FALSE,24,,Symbol Screener Tool,Symbol-transparent-gestalten-Werkzeug,Инструмент: Прозрачность символов,
Adobe Symbol Scruncher Tool,FALSE,tool,TRUE,FALSE,24,,Symbol Scruncher Tool,Symbol-stauchen-Werkzeug,Инструмент: Уплотнение символов,
Adobe Symbol Shifter Tool,FALSE,tool,TRUE,FALSE,24,,Symbol Shifter Tool,Symbol-verschieben-Werkzeug,Инструмент: Смещение символов,
Adobe Symbol Sizer Tool,FALSE,tool,TRUE,FALSE,24,,Symbol Sizer Tool,Symbol-skalieren-Werkzeug,Инструмент: Размер символов,
Adobe Symbol Spinner Tool,FALSE,tool,TRUE,FALSE,24,,Symbol Spinner Tool,Symbol-drehen-Werkzeug,Инструмент: Вращение символов,
Adobe Symbol Sprayer Tool,FALSE,tool,TRUE,FALSE,24,,Symbol Sprayer Tool,Symbol-aufsprühen-Werkzeug,Инструмент: Распыление символов,
Adobe Symbol Stainer Tool,FALSE,tool,TRUE,FALSE,24,,Symbol Stainer Tool,Symbol-färben-Werkzeug,Инструмент: Обесцвечивание символов,
Adobe Symbol Styler Tool,FALSE,tool,TRUE,FALSE,24,,Symbol Styler Tool,Symbol-gestalten-Werkzeug,Инструмент: Стили символов,
Adobe Touch Type Tool,FALSE,tool,TRUE,FALSE,24,,Touch Type Tool,Touch-Type-Textwerkzeug,Инструмент: Изменение текста,
Adobe New Twirl Tool,FALSE,tool,TRUE,FALSE,24,,Twirl Tool,Strudel-Werkzeug,Инструмент: Воронка,
Adobe Type Tool,FALSE,tool,TRUE,FALSE,24,,Type Tool,Text-Werkzeug,Инструмент: Текст,
Adobe Path Type Tool,FALSE,tool,TRUE,FALSE,24,,Type on a Path Tool,Pfadtext-Werkzeug,Инструмент: Текст по контуру,
Adobe Vertical Area Type Tool,FALSE,tool,TRUE,FALSE,24,,Vertical Area Type Tool,Vertikaler-Flächentext-Werkzeug,Инструмент: Вертикальный текст в области,
Adobe Vertical Type Tool,FALSE,tool,TRUE,FALSE,24,,Vertical Type Tool,Vertikaler-Text-Werkzeug,Инструмент: Вертикальный текст,
Adobe Vertical Path Type Tool,FALSE,tool,TRUE,FALSE,24,,Vertical Type on a Path Tool,Vertikaler-Pfadtext-Werkzeug,Инструмент: Вертикальный текст по контуру,
Adobe Warp Tool,FALSE,tool,TRUE,FALSE,24,,Warp Tool,Verkrümmen-Werkzeug,Инструмент: Деформация,
Adobe Width Tool,FALSE,tool,TRUE,FALSE,24,,Width Tool,Breiten-Werkzeug,Инструмент: Ширина,
Adobe Wrinkle Tool,FALSE,tool,TRUE,FALSE,24,,Wrinkle Tool,Zerknittern-Werkzeug,Инструмент: Морщины,
Adobe Zoom Tool,FALSE,tool,TRUE,FALSE,24,,Zoom Tool,Zoom-Werkzeug,Инструмент: Масштаб,
